Date,Open,High,Low,Close,Volume,MA_5,MA_50,MA_200,Movement
2018-10-17,253.68946188908876,254.33172885748337,251.0841741890528,253.69851684570312,110626000,250.28265686035155,258.99945190429685,248.2085102081299,-1.0
2018-10-18,252.74856476213944,253.35466689503343,248.741140584724,250.03472900390625,134557500,251.04794311523438,258.85880798339844,248.25112464904785,0.0
2018-10-19,250.69520261836539,252.65819578314392,249.19354293847718,249.89913940429688,139901600,251.10224304199218,258.7224755859375,248.28797203063965,0.0
2018-10-22,250.57754345323013,250.90319054735895,248.23460150412726,248.77737426757812,82415800,251.2126037597656,258.5981100463867,248.31112899780274,-1.0
2018-10-23,245.1047265195424,248.65079146092717,242.98790933327925,247.51097106933594,146352700,249.98414611816406,258.4675067138672,248.3257216644287,-1.0
2018-10-24,247.25765951620426,247.6466637731507,239.4508788186589,240.01173400878906,177806700,247.24678955078124,258.1545004272461,248.30004981994628,1.0
2018-10-25,241.87523613449878,245.88266191414266,240.83493753256218,244.3176727294922,138061500,246.10337829589844,257.9657946777344,248.297783203125,-1.0
2018-10-26,240.554497465088,245.14991546792606,237.27075063789374,240.020751953125,201574600,244.12770080566406,257.65008728027345,248.26510276794434,-1.0
2018-10-29,243.15975025729497,244.47144900038907,235.0634875666472,238.6909637451172,160749100,242.11041870117188,257.28977142333986,248.21773674011231,1.0
2018-10-30,238.51904882189194,242.54455549989763,238.021495677487,242.22793579101562,157116000,241.0538116455078,256.9892105102539,248.19229721069337,1.0
2018-10-31,244.83326785113798,247.16718260991613,244.35382452574112,244.815185546875,128296300,242.014501953125,256.72832550048827,248.16800720214843,1.0
2018-11-01,245.6927496329224,247.61957858958414,244.58912132756873,247.42056274414062,99495000,242.63507995605468,256.52261016845705,248.15884246826172,-1.0
2018-11-02,248.5421792354544,248.97640299013665,243.87437739726116,245.9550018310547,122634100,243.82192993164062,256.29442810058595,248.13667930603026,1.0
2018-11-05,246.45251240560887,247.87275996867422,245.46648857071395,247.31190490722656,65622500,245.5461181640625,256.06240631103515,248.1111215209961,1.0
2018-11-06,247.2486618865335,249.03977672753086,247.18533239446742,248.876953125,60085900,246.87592163085938,255.82079986572265,248.09071006774903,1.0
2018-11-07,251.08418519704654,254.28652043595162,250.64996135914504,254.20510864257812,102752100,248.75390625,255.68323638916016,248.0974306488037,0.0
2018-11-08,253.39099280731403,254.3951270325199,252.58590204191995,253.74380493164062,65584900,250.0185546875,255.50834869384767,248.1013091278076,-1.0
2018-11-09,252.4139538148505,252.6039146566076,249.83580339327577,251.26510620117188,98812600,251.08057556152343,255.30514068603514,248.07814987182618,-1.0
2018-11-12,250.74943292476894,250.99366825605023,246.045438911166,246.57012939453125,99673600,250.93222045898438,255.00785186767578,248.03999855041505,0.0
2018-11-13,247.0404986865697,249.06682082203295,245.3760158457865,246.10874938964844,98176600,250.37857971191406,254.71034240722656,248.01257713317872,-1.0
2018-11-14,248.0084802824092,248.41553920225707,242.84315242902625,244.4262237548828,125335900,248.422802734375,254.39323028564453,247.9761183166504,1.0
2018-11-15,243.1416566233455,247.44761936318355,241.54050302953706,246.97720336914062,135101400,247.069482421875,254.1428073120117,247.95384323120118,0.0
2018-11-16,245.86455696372374,248.5422013393039,245.3398664293318,247.6195068359375,126668000,246.34036254882812,253.91531707763673,247.96214775085448,-1.0
2018-11-19,247.00436950838497,247.3029070174423,242.49941806784386,243.43116760253906,103061700,245.7125701904297,253.59505493164062,248.00094337463378,-1.0
2018-11-20,240.0479036410142,241.53148104540847,238.04871821313884,238.9261932373047,136021300,244.27605895996095,253.1675827026367,247.9939981842041,0.0
2018-11-21,240.50018158946025,241.66713903473132,239.7312833195899,239.7403106689453,75563700,243.33887634277343,252.75513305664063,247.99764167785645,-1.0
2018-11-23,238.07578491287595,239.5593618775443,237.97629084178058,238.1391143798828,42807900,241.57125854492188,252.2798599243164,248.03810470581055,1.0
2018-11-26,240.427785070761,242.20987188036196,240.02975356764222,241.9837188720703,79981400,240.44410095214843,251.88057861328124,248.0805126953125,0.0
2018-11-27,240.9344439296052,242.79794311523438,240.31931417264707,242.79794311523438,75502400,240.3174560546875,251.5253173828125,248.10984718322754,1.0
2018-11-28,243.88347624747863,248.38842773437497,242.73460098349025,248.388427734375,127629600,242.20990295410155,251.25359008789061,248.16418739318848,0.0
2018-11-29,247.60137914577518,249.2658621573852,246.44347672002166,247.84564208984375,82346400,243.83096923828126,250.96542358398438,248.1997859954834,1.0
2018-11-30,247.69194636683443,249.92634034564995,247.36629911805935,249.35643005371094,98204200,246.07443237304688,250.6649661254883,248.2275796508789,1.0
2018-12-03,253.54468717609066,253.65323621484643,251.03892150957347,252.6581573486328,103176300,248.20932006835938,250.43537536621093,248.27152450561525,-1.0
2018-12-04,251.8169132827141,252.25113711085353,244.15484624851243,244.47146606445312,177986000,248.5440246582031,250.05960021972658,248.2821706390381,0.0
2018-12-06,240.55452109084936,244.21818995654812,237.4064602682872,244.1005859375,204185400,247.68645629882812,249.68129150390624,248.29698974609374,-1.0
2018-12-07,243.7567859330355,245.34891217546146,237.57829700103832,238.4286346435547,161018900,245.8030548095703,249.2052847290039,248.28188652038574,0.0
2018-12-10,238.24772656172698,239.86699023739337,233.95081832559833,238.88096618652344,151445900,243.7079620361328,248.72366821289063,248.24980247497558,0.0
2018-12-11,242.1285064240497,242.3184672575109,237.44262182151584,238.9352264404297,121504400,240.9633758544922,248.24259613037108,248.20374725341796,1.0
2018-12-12,241.9566923283497,243.34074826813946,240.05700066813725,240.13841247558594,97976700,240.09676513671874,247.76731384277343,248.17920013427735,0.0
2018-12-13,241.09727500567968,241.97475009461837,238.92621087418985,240.05697631835938,96662700,239.2880432128906,247.29347900390624,248.1666577911377,-1.0
2018-12-14,237.8768502542829,238.8447920716892,235.06351916283805,235.62437438964844,116961100,238.72719116210936,246.72809844970703,248.14958801269532,-1.0
2018-12-17,234.6563507030516,235.787115719553,229.346282602612,231.00172424316406,165492300,237.1513427734375,246.1115118408203,248.10324348449706,0.0
2018-12-18,232.66629208011568,233.34475129775998,229.12019975566793,230.74850463867188,134515100,235.51399841308594,245.51917236328126,248.041748046875,-1.0
2018-12-19,230.829899039409,234.6564048736823,225.5650630848944,227.29286193847656,214992800,232.94488830566405,244.85772003173827,247.95989334106446,-1.0
2018-12-20,226.02644226632876,227.61855503274458,221.31340585056603,223.59303283691406,252053400,229.652099609375,244.1298693847656,247.8599861907959,-1.0
2018-12-21,224.50744527512904,227.2098339096407,218.3565476147274,219.0116729736328,255345600,226.32955932617188,243.4750308227539,247.73127891540528,-1.0
